id,amenity_type,amenity_name,postalcode,lat,lon,amenity_category_id,pa_id,sz_id,rn_id,geom,created_at
68,atm,uob,538719,1.3792857,103.8878876,4,11,243,30642,,2025-11-01 15:10:56.351987+00
69,atm,uob,319758,1.34042,103.84522,4,29,210,22535,,2025-11-01 15:10:56.351987+00
70,cafe,bee's knees urban,48947,1.2842139,103.850273,9,40,5,12087,,2025-11-01 15:10:56.351987+00
71,pub,red dot pub,169372,1.2764731,103.8357911,9,4,38,11817,,2025-11-01 15:10:56.351987+00
72,pub,缤纷年代,169354,1.2769982,103.8363607,9,4,38,35,,2025-11-01 15:10:56.351987+00
73,fast_food,old chang kee,208539,1.3114597,103.8562211,9,22,117,9812,,2025-11-01 15:10:56.351987+00
74,post_office,city square post office,208539,1.3109755,103.8567196,4,22,117,7474,,2025-11-01 15:10:56.351987+00
75,atm,uob,560202,1.3684773,103.8445304,4,52,329,28550,,2025-11-01 15:10:56.351987+00
76,clinic,chua medico clinic,560529,1.3723173,103.8550581,6,52,170,17756,,2025-11-01 15:10:56.351987+00
77,fast_food,domino's,560574,1.3706604,103.8564782,9,52,170,17758,,2025-11-01 15:10:56.351987+00
78,atm,uob,556083,1.35049,103.87172,4,21,177,34726,,2025-11-01 15:10:56.351987+00
79,fast_food,老曾记,556083,1.3510946,103.8721662,9,21,177,30473,,2025-11-01 15:10:56.351987+00
80,clinic,ma kuang tcm medical centre,560451,1.3687218,103.8555019,6,52,163,28995,,2025-11-01 15:10:56.351987+00
81,atm,uob,790437,1.3923509,103.8764048,4,20,239,18983,,2025-11-01 15:10:56.351987+00
82,post_office,sengkang central post office,545025,1.392736,103.8939962,4,20,236,27741,,2025-11-01 15:10:56.351987+00
83,restaurant,pizza hut,545909,1.3620555,103.8856381,9,11,162,30733,,2025-11-01 15:10:56.351987+00
84,atm,ocbc bank,550241,1.3524843,103.8700923,4,21,177,34076,,2025-11-01 15:10:56.351987+00
85,post_office,serangoon central post office,550261,1.3538627,103.8723813,4,21,177,30473,,2025-11-01 15:10:56.351987+00
86,atm,uob,550267,1.3534337,103.8710155,4,21,177,37245,,2025-11-01 15:10:56.351987+00
87,cafe,starbucks,310490,1.332626,103.8488573,9,29,96,28399,,2025-11-01 15:10:56.351987+00
88,post_office,ang mo kio central post office,560727,1.3729457,103.8460766,4,52,110,28927,,2025-11-01 15:10:56.351987+00
89,bus_station,smrt,0,1.387874,103.846096,11,52,252,16384,,2025-11-01 15:10:56.351987+00
90,fast_food,texas chicken,530476,1.3773911,103.9034125,9,11,225,41115,,2025-11-01 15:10:56.351987+00
91,doctors,medical clinic,530356,1.3727614,103.8989326,6,11,225,28627,,2025-11-01 15:10:56.351987+00
92,atm,uob,310109,1.3412261,103.8462721,4,29,210,26190,,2025-11-01 15:10:56.351987+00
93,atm,uob,545015,1.3914346,103.8926563,4,20,237,18364,,2025-11-01 15:10:56.351987+00
94,atm,uob,829169,1.4045712,103.9066554,4,16,292,39051,,2025-11-01 15:10:56.351987+00
95,atm,uob,550153,1.3700496,103.8726821,4,21,164,13370,,2025-11-01 15:10:56.351987+00
96,bank,uob,550262,1.3535176,103.8724479,4,21,177,30473,,2025-11-01 15:10:56.351987+00
97,atm,uob,550267,1.353427,103.8710169,4,21,177,37245,,2025-11-01 15:10:56.351987+00
98,atm,uob,550301,1.3533057,103.8679122,4,21,177,15615,,2025-11-01 15:10:56.351987+00
99,atm,uob,820108,1.396551,103.9088329,4,16,240,40192,,2025-11-01 15:10:56.351987+00
100,atm,uob,560163,1.373985,103.837774,4,52,111,25706,,2025-11-01 15:10:56.351987+00
101,atm,uob,560407,1.3622425,103.8555242,4,52,163,13260,,2025-11-01 15:10:56.351987+00
102,atm,uob,560449,1.36785,103.856056,4,52,163,28995,,2025-11-01 15:10:56.351987+00
103,atm,uob,554912,1.3760912,103.8720312,4,21,181,34059,,2025-11-01 15:10:56.351987+00
104,atm,uob,550253,1.3540772,103.8708075,4,21,177,37245,,2025-11-01 15:10:56.351987+00
105,atm,uob,538692,1.3759496,103.8792155,4,11,243,28538,,2025-11-01 15:10:56.351987+00
106,atm,uob,530631,1.37056,103.88141,4,11,228,35561,,2025-11-01 15:10:56.351987+00
107,atm,uob,530106,1.3537138,103.8906559,4,11,186,27717,,2025-11-01 15:10:56.351987+00
108,atm,uob,569830,1.3801192,103.8491425,4,52,251,14349,,2025-11-01 15:10:56.351987+00
109,atm,uob,560449,1.3680573,103.8559596,4,52,163,28995,,2025-11-01 15:10:56.351987+00
110,atm,uob,560215,1.3666063,103.8415379,4,52,329,28495,,2025-11-01 15:10:56.351987+00
111,bank,uob,538758,1.370628,103.892276,4,11,165,28642,,2025-11-01 15:10:56.351987+00
112,cafe,gong cha,310190,1.3329432,103.8484222,9,29,96,13865,,2025-11-01 15:10:56.351987+00
113,clinic,drs lim & chan clinic,531002,1.3506791,103.8757569,6,21,201,36357,,2025-11-01 15:10:56.351987+00
114,cafe,starbucks,579799,1.3496782,103.8507959,9,51,178,36404,,2025-11-01 15:10:56.351987+00
115,dentist,ntuc health denticare,530682,1.3742216,103.8855596,6,11,228,30628,,2025-11-01 15:10:56.351987+00
116,cafe,tiger sugar,570510,1.3489103,103.8498144,9,51,178,16447,,2025-11-01 15:10:56.351987+00
117,pharmacy,guardian,570512,1.3496673,103.8500176,6,51,178,21338,,2025-11-01 15:10:56.351987+00
118,atm,uob,310520,1.3329775,103.8474069,4,29,96,13883,,2025-11-01 15:10:56.351987+00
119,restaurant,seafood paradise,918146,1.3546968,103.9891474,9,8,298,42585,,2025-11-01 15:10:56.351987+00
120,fast_food,shiok burger,544692,1.3837171,103.8927327,9,20,250,27167,,2025-11-01 15:10:56.351987+00
121,restaurant,wicked grill,437089,1.3047633,103.8961394,9,39,300,3319,,2025-11-01 15:10:56.351987+00
122,restaurant,lang nuong viet nam,209261,1.312139,103.8599835,9,22,117,2759,,2025-11-01 15:10:56.351987+00
123,atm,uob,470744,1.3375584,103.9220014,4,1,215,41649,,2025-11-01 15:10:56.351987+00
124,atm,uob,319640,1.3363242,103.8466108,4,29,96,22531,,2025-11-01 15:10:56.351987+00
125,atm,uob,400304,1.3297798,103.9015377,4,53,99,14176,,2025-11-01 15:10:56.351987+00
126,restaurant,pizza hut,310085,1.3362813,103.8478807,9,29,96,22531,,2025-11-01 15:10:56.351987+00
127,clinic,tcm clinic,348524,1.3291615,103.8733882,6,53,145,16174,,2025-11-01 15:10:56.351987+00
128,bank,western union,569811,1.3700827,103.8493255,4,52,170,32813,,2025-11-01 15:10:56.351987+00
129,atm,uob,322101,1.3195242,103.861137,4,22,174,305,,2025-11-01 15:10:56.351987+00
130,atm,uob,310071,1.334182,103.852108,4,29,104,34700,,2025-11-01 15:10:56.351987+00
131,atm,uob,563226,1.367153,103.839276,4,52,329,33906,,2025-11-01 15:10:56.351987+00
132,atm,uob,310128,1.338186,103.8443249,4,29,210,26287,,2025-11-01 15:10:56.351987+00
133,bicycle_parking,geylang polyclinic,389707,1.3193903,103.8873468,11,53,301,11179,,2025-11-01 15:10:56.351987+00
134,atm,uob,470745,1.337379,103.9217411,4,1,215,41649,,2025-11-01 15:10:56.351987+00
135,atm,uob,569811,1.3695561,103.8496345,4,52,170,32813,,2025-11-01 15:10:56.351987+00
136,atm,uob,563226,1.3671593,103.8392385,4,52,329,33906,,2025-11-01 15:10:56.351987+00
137,bank,uob,534013,1.3344429,103.8892526,4,11,202,18528,,2025-11-01 15:10:56.351987+00
138,fast_food,肯德基,470632,1.3328039,103.9136248,9,1,211,37717,,2025-11-01 15:10:56.351987+00
139,pharmacy,guardian,470631,1.333176,103.9144833,6,1,211,37717,,2025-11-01 15:10:56.351987+00
140,restaurant,pizza hut,310190,1.3330817,103.8493507,9,29,96,13865,,2025-11-01 15:10:56.351987+00
141,clinic,sata commhealth potong pasir medical centre,347919,1.3290723,103.8700587,6,29,100,23809,,2025-11-01 15:10:56.351987+00
142,prep_school,kumon,575629,1.3533619,103.8353583,2,51,328,24675,,2025-11-01 15:10:56.351987+00
143,cafe,unicorn kampung 1200,389592,1.3145235,103.889916,9,53,301,3564,,2025-11-01 15:10:56.351987+00
144,restaurant,mixed rice,389687,1.3147146,103.8896629,9,53,301,3546,,2025-11-01 15:10:56.351987+00
145,bus_station,hougang central interchange,538758,1.3708351,103.8925345,11,11,165,28642,,2025-11-01 15:10:56.351987+00
146,bus_station,sembawang interchange,757527,1.4474818,103.8194139,11,19,271,31389,,2025-11-01 15:10:56.351987+00
147,atm,uob,570151,1.345283,103.855659,4,51,178,21347,,2025-11-01 15:10:56.351987+00
148,atm,uob,570501,1.3483972,103.8493301,4,51,178,14251,,2025-11-01 15:10:56.351987+00
149,fast_food,pepper lunch,538766,1.372314,103.8939275,9,11,165,18321,,2025-11-01 15:10:56.351987+00
150,atm,uob,556083,1.3502763,103.8728874,4,21,177,30473,,2025-11-01 15:10:56.351987+00
151,bank,maybank,310480,1.3319188,103.848231,4,29,96,28399,,2025-11-01 15:10:56.351987+00
152,pharmacy,guardian,797653,1.3915673,103.8758859,6,20,239,18983,,2025-11-01 15:10:56.351987+00
153,clinic,vital care,560525,1.3725978,103.8540144,6,52,170,29002,,2025-11-01 15:10:56.351987+00
154,charging_station,electric car charging station,545015,1.3916658,103.8928146,11,20,237,18364,,2025-11-01 15:10:56.351987+00
155,clinic,healthway medical,560330,1.3626523,103.8507325,6,52,330,34800,,2025-11-01 15:10:56.351987+00
156,pharmacy,watsons,538719,1.3794249,103.8877603,6,11,243,30642,,2025-11-01 15:10:56.351987+00
157,cafe,gong cha,539775,1.3363468,103.8887173,9,11,202,16249,,2025-11-01 15:10:56.351987+00
158,post_office,thomson road post office,574339,1.3512914,103.8360914,4,51,328,24491,,2025-11-01 15:10:56.351987+00
159,atm,uob,400301,1.3308274,103.9013973,4,53,99,40745,,2025-11-01 15:10:56.351987+00
160,atm,uob,400302,1.3300359,103.9009724,4,53,99,40745,,2025-11-01 15:10:56.351987+00
161,parking,cp exit,574408,1.3551567,103.8303993,11,51,328,22100,,2025-11-01 15:10:56.351987+00
162,post_office,toa payoh north post office,310203,1.3420405,103.8489979,4,29,205,23014,,2025-11-01 15:10:56.351987+00
163,dentist,dental surgery,569812,1.3692387,103.8498585,6,52,170,14265,,2025-11-01 15:10:56.351987+00
164,atm,uob,310020,1.334986,103.857182,4,29,103,32342,,2025-11-01 15:10:56.351987+00
165,atm,uob,330071,1.3210392,103.8704259,4,22,124,9914,,2025-11-01 15:10:56.351987+00
166,atm,uob,470631,1.3330187,103.9144505,4,1,211,37717,,2025-11-01 15:10:56.351987+00
167,atm,uob,400306,1.3298933,103.9019015,4,53,99,14176,,2025-11-01 15:10:56.351987+00
168,atm,uob,574429,1.3508562,103.83557,4,51,328,22193,,2025-11-01 15:10:56.351987+00
169,atm,uob,318994,1.3427918,103.8490149,4,29,205,23014,,2025-11-01 15:10:56.351987+00
170,atm,uob,347694,1.33138,103.86928,4,29,100,27647,,2025-11-01 15:10:56.351987+00
171,atm,uob,358361,1.3327,103.86727,4,29,101,16394,,2025-11-01 15:10:56.351987+00
172,atm,uob,368125,1.3317106,103.8793171,4,29,192,13562,,2025-11-01 15:10:56.351987+00
173,atm,uob,320080,1.3239037,103.8557634,4,25,175,35108,,2025-11-01 15:10:56.351987+00
174,atm,uob,310260,1.3321552,103.8574072,4,29,94,19015,,2025-11-01 15:10:56.351987+00
175,bank,uob,330025,1.3182941,103.863199,4,22,174,8018,,2025-11-01 15:10:56.351987+00
176,atm,ocbc bank,576385,1.3540793,103.8302757,4,51,328,22206,,2025-11-01 15:10:56.351987+00
177,parking,cp entrance,574408,1.3548372,103.8313814,11,51,328,36918,,2025-11-01 15:10:56.351987+00
178,pharmacy,watsons,534013,1.3343042,103.8893864,6,11,202,13796,,2025-11-01 15:10:56.351987+00
179,pharmacy,guardian,347697,1.3315632,103.8685212,6,29,101,35045,,2025-11-01 15:10:56.351987+00
180,pharmacy,watsons,347697,1.3314399,103.8685179,6,29,101,35045,,2025-11-01 15:10:56.351987+00
181,cafe,r&b巡茶,576385,1.3541336,103.8302435,9,51,328,22206,,2025-11-01 15:10:56.351987+00
182,restaurant,chicken claypot house,389657,1.3149504,103.8909489,9,53,301,12575,,2025-11-01 15:10:56.351987+00
183,fast_food,saladstop!,307683,1.3204367,103.8436564,9,25,140,11705,,2025-11-01 15:10:56.351987+00
184,cafe,tingkat peramakan,576405,1.354504,103.830405,9,51,328,22153,,2025-11-01 15:10:56.351987+00
185,cafe,coffee hive,574408,1.3548986,103.830805,9,51,328,36918,,2025-11-01 15:10:56.351987+00
186,clinic,y. c. goh clinic & surgery for women,574408,1.3549123,103.8308474,6,51,328,36918,,2025-11-01 15:10:56.351987+00
187,prep_school,visiblemath,575585,1.3528153,103.8365461,2,51,328,33766,,2025-11-01 15:10:56.351987+00
188,veterinary,paws n' claws veterinary surgery,575585,1.3529042,103.8360994,6,51,328,32532,,2025-11-01 15:10:56.351987+00
189,cafe,ménage,575585,1.3528639,103.8359963,9,51,328,32532,,2025-11-01 15:10:56.351987+00
190,school,j carter centre,575585,1.352923,103.8361818,2,51,328,33766,,2025-11-01 15:10:56.351987+00
191,restaurant,a-roy thai restaurant,307683,1.3198611,103.8436452,9,25,140,7353,,2025-11-01 15:10:56.351987+00
192,restaurant,eng's heritage,576385,1.3542924,103.8303563,9,51,328,22206,,2025-11-01 15:10:56.351987+00
193,restaurant,shi li fang,574408,1.3548753,103.8311007,9,51,328,36918,,2025-11-01 15:10:56.351987+00
194,cafe,the black sheep café,575629,1.3533968,103.8355333,9,51,328,24675,,2025-11-01 15:10:56.351987+00
195,library,clementi public library,129588,1.314676,103.7640222,2,10,128,11137,,2025-11-01 15:10:56.351987+00
196,restaurant,tuas 88 eating house,637369,1.2897224,103.6235308,9,30,332,7207,,2025-11-01 15:10:56.351987+00
197,restaurant,kjm coffee house,637439,1.2867841,103.6234629,9,30,332,8060,,2025-11-01 15:10:56.351987+00
198,parking,terminal 3,0,1.3581351,103.9883841,11,8,298,39814,,2025-11-01 15:10:56.351987+00
199,cafe,toast box,179105,1.2911786,103.8501556,9,40,88,357,,2025-11-01 15:10:56.351987+00
200,electricity,power centre,117934,1.2789052,103.7904887,4,17,44,5146,,2025-11-01 15:10:56.351987+00
201,place_of_worship,covenant community methodist church,599986,1.3329139,103.7828083,1,6,98,16260,,2025-11-01 15:10:56.351987+00
202,new,re.juve,48947,1.2836533,103.8500097,7,40,5,1614,,2025-11-01 15:10:56.351987+00
203,new,gc hairdressing,207871,1.31107,103.8583172,7,22,117,7559,,2025-11-01 15:10:56.351987+00
204,new,licked,218398,1.3152839,103.8537474,7,22,129,7602,,2025-11-01 15:10:56.351987+00
205,new,thuru murugan sculpture & arts,218385,1.3147421,103.8539768,7,22,129,7616,,2025-11-01 15:10:56.351987+00
206,new,eileen town gift shop,189652,1.3003482,103.851372,9,35,80,431,,2025-11-01 15:10:56.351987+00
207,new,cedele,48622,1.28427,103.8520287,7,40,5,679,,2025-11-01 15:10:56.351987+00
208,new,alvin sports,207869,1.3109716,103.8582391,1,22,117,7557,,2025-11-01 15:10:56.351987+00
209,new,le petit croissant,49318,1.2840244,103.8526519,7,40,5,679,,2025-11-01 15:10:56.351987+00
210,new,local innterior,218433,1.3163941,103.8533192,7,22,129,7611,,2025-11-01 15:10:56.351987+00
211,new,paradise of relaxation,329719,1.3223885,103.8529894,7,25,175,23498,,2025-11-01 15:10:56.351987+00
212,new,kang zhi yuan,218398,1.3153438,103.8537159,7,22,129,1248,,2025-11-01 15:10:56.351987+00
213,new,avm mart,210681,1.3135462,103.8550091,7,22,117,6822,,2025-11-01 15:10:56.351987+00
214,new,silvotino,208108,1.311613,103.8587166,7,22,117,7559,,2025-11-01 15:10:56.351987+00
215,new,atino live seafood,218456,1.3176724,103.8524029,7,22,129,1244,,2025-11-01 15:10:56.351987+00
216,new,limmy’s,218374,1.3143974,103.8541453,7,22,129,7617,,2025-11-01 15:10:56.351987+00
217,new,mame pet store,209300,1.3123128,103.8574255,9,22,117,7538,,2025-11-01 15:10:56.351987+00
218,new,polar,307506,1.3207121,103.8442539,7,25,140,11702,,2025-11-01 15:10:56.351987+00
219,new,cmart,387387,1.3189094,103.8807963,7,53,301,12952,,2025-11-01 15:10:56.351987+00
220,new,athrow pte. ltd.,458220,1.3148783,103.9192616,7,1,118,44258,,2025-11-01 15:10:56.351987+00
221,new,goodyear,455270,1.3137487,103.9319636,7,1,118,44075,,2025-11-01 15:10:56.351987+00
222,new,m-plified beauty,218374,1.3145,103.8540954,7,22,129,7617,,2025-11-01 15:10:56.351987+00
223,new,first may,458228,1.3144188,103.9194543,7,1,118,44258,,2025-11-01 15:10:56.351987+00
224,new,tay junction,408868,1.3328675,103.8933738,7,53,99,18659,,2025-11-01 15:10:56.351987+00
225,new,collective designs,408868,1.3333401,103.8933035,7,53,99,18659,,2025-11-01 15:10:56.351987+00
226,new,jdm automobile,408868,1.3334289,103.8935179,7,53,99,18655,,2025-11-01 15:10:56.351987+00
227,new,ikeda spa,269758,1.3310534,103.7962169,7,6,148,29187,,2025-11-01 15:10:56.351987+00
228,new,house of traditional javanese massage,269758,1.3310186,103.7963307,7,6,148,29187,,2025-11-01 15:10:56.351987+00
229,new,bathroom warehouse,609966,1.3286462,103.7520595,7,10,189,29331,,2025-11-01 15:10:56.351987+00
230,new,sincere furniture centre,609966,1.3282891,103.7533529,9,10,189,29330,,2025-11-01 15:10:56.351987+00
231,new,solos office system furniture,609966,1.3284068,103.7529778,7,10,189,29331,,2025-11-01 15:10:56.351987+00
232,new,cannondale,408868,1.3332957,103.8931963,7,53,99,18659,,2025-11-01 15:10:56.351987+00
233,new,w. atelier,629682,1.3147184,103.6653781,7,15,138,11065,,2025-11-01 15:10:56.351987+00
234,new,w. atelier,159545,1.2827781,103.8206171,7,4,2,8366,,2025-11-01 15:10:56.351987+00
235,new,southbridge aesthetics clinic,58826,1.2818137,103.8451591,6,46,3,3745,,2025-11-01 15:10:56.351987+00
236,new,huawei,556083,1.35071,103.8721191,7,21,177,34726,,2025-11-01 15:10:56.351987+00
237,new,skechers,579837,1.3504135,103.8489891,7,51,178,36459,,2025-11-01 15:10:56.351987+00
238,new,shell select,574326,1.3481748,103.83831,7,51,328,27600,,2025-11-01 15:10:56.351987+00
239,new,umeya,918146,1.3559358,103.9889683,7,8,298,42585,,2025-11-01 15:10:56.351987+00
240,new,times travel,918146,1.3544466,103.9885171,7,8,298,42585,,2025-11-01 15:10:56.351987+00
241,new,sgcarmart,408898,1.3319194,103.9013589,7,53,99,40748,,2025-11-01 15:10:56.351987+00
242,new,volkswagen macpherson,368314,1.3324952,103.8822421,7,29,192,18601,,2025-11-01 15:10:56.351987+00
243,new,popular,556083,1.3505158,103.8722286,7,21,177,35088,,2025-11-01 15:10:56.351987+00
244,new,sheng siong,820301,1.4037905,103.9061683,9,16,292,39051,,2025-11-01 15:10:56.351987+00
245,new,breadtalk,579837,1.3506852,103.8485622,7,51,178,36459,,2025-11-01 15:10:56.351987+00
246,new,popular,797653,1.3911266,103.8759815,7,20,239,28735,,2025-11-01 15:10:56.351987+00
247,new,spa by alanghaar,219160,1.3068891,103.8512825,7,35,107,5505,,2025-11-01 15:10:56.351987+00
248,new,sheng siong,460209,1.3244941,103.9310939,9,1,95,38721,,2025-11-01 15:10:56.351987+00
249,new,toy station,574408,1.3549322,103.8307824,11,51,328,36918,,2025-11-01 15:10:56.351987+00
250,new,four leaves,574408,1.3546824,103.830552,7,51,328,22153,,2025-11-01 15:10:56.351987+00
251,new,hair by guna,575629,1.3534397,103.8356334,7,51,328,24675,,2025-11-01 15:10:56.351987+00
252,new,rinnai,389623,1.3147571,103.8911241,7,53,301,3552,,2025-11-01 15:10:56.351987+00
253,new,sky of fate,460213,1.3262833,103.9324237,7,1,95,43131,,2025-11-01 15:10:56.351987+00
254,new,foto express,574408,1.3548482,103.830685,7,51,328,36918,,2025-11-01 15:10:56.351987+00
255,new,top curls salon,574408,1.3550191,103.8306797,7,51,328,36918,,2025-11-01 15:10:56.351987+00
256,new,hawaii tailor,574408,1.3545205,103.8313462,7,51,328,31939,,2025-11-01 15:10:56.351987+00
257,new,minumkopi,460213,1.3261941,103.9319627,7,1,95,43131,,2025-11-01 15:10:56.351987+00
